,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOLS
SH3YL1,-0.953035878,4.544420753,6.68389927,1.39E-06,0.029549026,4.463015569,SH3YL1
CCDC91,-0.601286728,3.747824942,5.569565133,1.67E-05,0.122170759,2.578204398,CCDC91
KIR2DL3,0.50889729,3.633325633,-5.50163086,1.95E-05,0.122170759,2.456648049,KIR2DL3
FAM241A,-0.826609133,4.535299374,5.428652904,2.30E-05,0.122170759,2.325286654,FAM241A
TOGARAM1,-0.977933209,4.47958172,5.149057689,4.41E-05,0.180582743,1.814873248,TOGARAM1
RRM2B,-0.507647899,3.63785339,5.032869395,5.78E-05,0.180582743,1.59963914,RRM2B
EDEM3,-1.033420389,5.657961305,5.01972714,5.96E-05,0.180582743,1.575185349,EDEM3
TMEM106B,-0.376543648,3.611255117,4.850800253,8.86E-05,0.208507131,1.259012704,TMEM106B
TMEM135,-0.385748856,3.770577374,4.645690978,0.000143741,0.208507131,0.870896789,TMEM135
GPBP1L1,-0.728258112,4.22537122,4.618004624,0.000153467,0.208507131,0.818190133,GPBP1L1
ZNF516,0.295863198,3.305847942,-4.59201053,0.000163201,0.208507131,0.76864197,ZNF516
COG3,-0.511732125,4.210100586,4.565749577,0.000173668,0.208507131,0.718524924,COG3
PHYH,-1.050020986,5.413260526,4.562177826,0.000175143,0.208507131,0.711703932,PHYH
TIGD7,-0.434637011,3.726670895,4.55352265,0.00017877,0.208507131,0.695170617,TIGD7
RPRD1A,-0.647370175,4.860635965,4.532678536,0.000187817,0.208507131,0.655328065,RPRD1A
PCMTD1,-0.672717959,4.816442318,4.531992487,0.000188123,0.208507131,0.654016106,PCMTD1
TMEM263,-0.510304576,3.984160511,4.512332239,0.000197093,0.208507131,0.616402828,TMEM263
EIF3A,-0.966513751,6.859171412,4.503555951,0.000201235,0.208507131,0.599602374,EIF3A
IBTK,-0.797175939,5.642898187,4.455726685,0.000225397,0.208507131,0.507938263,IBTK
PURA,-0.29953349,3.520796556,4.419871131,0.000245406,0.208507131,0.439110823,PURA
SNORD89,0.492300147,3.895354985,-4.394219489,0.000260807,0.208507131,0.38981552,SNORD89
RASGRP3,-0.614830882,4.35845775,4.379691079,0.000269957,0.208507131,0.36187645,RASGRP3
TAB3,0.2572533,3.340955858,-4.356413416,0.000285293,0.208507131,0.31708366,TAB3
RRAGB,-0.667280892,4.647254733,4.354428438,0.000286641,0.208507131,0.313262426,RRAGB
SNAP23,-0.492651616,4.006163651,4.352858235,0.000287711,0.208507131,0.310239493,SNAP23
